"Executor Threads","Toggle Freq","Total Calls",min,max
1,0,6.9508152985793e7,6.9439840361176e7,6.9510236916272e7
1,10,6.9505772980582e7,6.9447368337921e7,6.951033961506e7
1,100,6.9506249730946e7,6.9505154939471e7,6.9511317823584e7
1,1000,6.9499032601015e7,6.9485478615317e7,6.9504334675646e7
1,10000,6.9422133203852e7,6.9350595589871e7,6.9431388699131e7
1,100000,6.8704566727704e7,6.8657295993026e7,6.8715085254376e7
1,500000,6.5547818404475e7,6.3002675871314e7,6.5547818404475e7
1,1000000,6.1419263616775e7,6.1327720658728e7,6.1575173420366e7
2,0,1.38917636287027e8,1.38274303436209e8,1.38960280925545e8
2,10,1.38950468860311e8,1.38929793647848e8,1.38963631009085e8
2,100,1.38963128480492e8,1.38713155574191e8,1.38963128480492e8
2,1000,1.38932273730773e8,1.38681794722636e8,1.38949360962076e8
2,10000,1.38665484408897e8,1.38665484408897e8,1.38784828750937e8
2,100000,1.36835752603543e8,1.36256914666667e8,1.3712861103449e8
2,500000,1.27498288675856e8,1.25337149577714e8,1.30424667463913e8
2,1000000,1.21355733393221e8,1.12318848359903e8,1.2173337375951e8
3,0,2.08220837695869e8,2.07646803213139e8,2.08286347500564e8
3,10,2.07041685861972e8,2.07041685861972e8,2.08231733945935e8
3,100,2.08174069612173e8,2.06742528919848e8,2.08254223181373e8
3,1000,2.07866506172269e8,2.06951851286453e8,2.082149652238e8
3,10000,2.07940356131681e8,2.07806087389592e8,2.0806067902905e8
3,100000,2.0369117996924e8,2.03424194519637e8,2.05643044504068e8
3,500000,1.94625282536916e8,1.87858140082856e8,1.94987674106765e8
3,1000000,1.66623886611382e8,1.66623886611382e8,1.82038475238679e8
4,0,2.7309665978714e8,2.71034235305288e8,2.7309665978714e8
4,10,2.71852218307406e8,2.71615927859969e8,2.73339680715433e8
4,100,2.72572120304375e8,2.71506854351233e8,2.73037033907852e8
4,1000,2.73155067237576e8,2.71331729824229e8,2.73363192110613e8
4,10000,2.71396657414786e8,2.70862619721832e8,2.72696328575768e8
4,100000,2.69659585704128e8,2.67026962305226e8,2.69659585704128e8
4,500000,2.44610330894416e8,2.43437061852819e8,2.5483210825602e8
4,1000000,2.1829402151908e8,2.15356347739065e8,2.37279063971791e8
5,0,3.36976971666667e8,3.35667727405538e8,3.36976971666667e8
5,10,3.36959367318829e8,3.36585806323576e8,3.37043408734494e8
5,100,3.36900230188931e8,3.36878839080383e8,3.36982555724256e8
5,1000,3.36844331543852e8,3.36844331543852e8,3.3697526930784e8
5,10000,3.36275084306858e8,3.36098430218535e8,3.36685047395286e8
5,100000,3.30450345895616e8,3.29895973278366e8,3.32650739670762e8
5,500000,3.14867756956278e8,3.01540700587674e8,3.15889357910882e8
5,1000000,2.80135397692702e8,2.66556112757177e8,2.94494479333333e8
6,0,4.04217748510839e8,4.01655450718434e8,4.0423296497178e8
6,10,4.04222067192077e8,4.04137564072649e8,4.04222067192077e8
6,100,4.03273006730176e8,4.03273006730176e8,4.04251120198649e8
6,1000,4.03624065397584e8,4.03160221043492e8,4.04152838723643e8
6,10000,4.03650327156196e8,4.02846622906765e8,4.03679682391414e8
6,100000,3.95919560541494e8,3.95758529299185e8,3.99124356877174e8
6,500000,3.77704985104262e8,3.6189974032387e8,3.7859418717572e8
6,1000000,3.50158284666667e8,3.22690494375905e8,3.53670744544642e8
7,0,4.70718101254512e8,4.70082284110554e8,4.70756379352829e8
7,10,4.70886956192394e8,4.70405420942883e8,4.71253236283699e8
7,100,4.71100908900765e8,4.67152407569358e8,4.71100908900765e8
7,1000,4.70520428746432e8,4.69929639300704e8,4.71155620429481e8
7,10000,4.69485368624386e8,4.65509331373687e8,4.70471358511168e8
7,100000,4.60644991801722e8,4.60644991801722e8,4.64273393095501e8
7,500000,4.29052179854739e8,4.19801237324108e8,4.39786035534047e8
7,1000000,3.74537105500617e8,3.70084695506554e8,4.10036099319471e8
8,0,5.28502151343642e8,5.27290688357372e8,5.30048554852556e8
8,10,5.29301913490855e8,5.28481569972567e8,5.2971938731352e8
8,100,5.29827790209307e8,5.28356019546304e8,5.298603524227e8
8,1000,5.29121670045404e8,5.28459739772322e8,5.29492352411523e8
8,10000,5.28472402143517e8,5.2678352575002e8,5.28589074080899e8
8,100000,5.2140842227878e8,5.16782412232639e8,5.22138369967421e8
8,500000,4.94667919017774e8,4.72797913357081e8,4.94667919017774e8
8,1000000,4.17690589194103e8,4.13893540252773e8,4.58669258786628e8
9,0,5.87534676320498e8,5.87466479642315e8,5.87701640403897e8
9,10,5.87534438791322e8,5.86920600101545e8,5.87563289549916e8
9,100,5.87491442579289e8,5.87014240484834e8,5.87544750636888e8
9,1000,5.87401773412598e8,5.87365153634412e8,5.87481909379329e8
9,10000,5.86294305401862e8,5.8627363659739e8,5.86738863749932e8
9,100000,5.75446171666667e8,5.74894421909635e8,5.79953157033411e8
9,500000,5.26267872456827e8,5.22830144355409e8,5.46568412333333e8
9,1000000,4.61048443359301e8,4.61048443359301e8,5.07599331815602e8
10,0,6.51920825392317e8,6.51586350484137e8,6.52698888455019e8
10,10,6.52651475213889e8,6.52429804097696e8,6.52689646736552e8
10,100,6.52606843312635e8,6.52416636477695e8,6.52691471750518e8
10,1000,6.52556712542048e8,6.51833173457226e8,6.52556712542048e8
10,10000,6.51195235612284e8,6.50618652429621e8,6.51839431758194e8
10,100000,6.40664990140238e8,6.38210913937678e8,6.43318168970197e8
10,500000,5.80343273666667e8,5.80343273666667e8,6.0732398396169e8
10,1000000,5.58170582061871e8,5.04760062082572e8,5.6029580608722e8
11,0,7.16522232312459e8,7.15928194689101e8,7.17373557652529e8
11,10,7.16723701221842e8,7.14498810714002e8,7.16940527661189e8
11,100,7.16665111022239e8,7.16169595368649e8,7.16986372106848e8
11,1000,7.16692582083204e8,7.15331830265141e8,7.17130235148757e8
11,10000,7.15306594703396e8,7.14972147093408e8,7.15768032649373e8
11,100000,7.03653125754182e8,7.00658782796047e8,7.06519636528987e8
11,500000,6.66833034444056e8,6.41217923844808e8,6.66833034444056e8
11,1000000,6.14102675426067e8,5.85384288162313e8,6.16039971250294e8
12,0,7.68967191539077e8,7.68293069548776e8,7.69522153561286e8
12,10,7.69012176440415e8,7.68440210617493e8,7.69589458173509e8
12,100,7.69265668384104e8,7.68010343410663e8,7.69744906298095e8
12,1000,7.68142361927431e8,7.68142361927431e8,7.69516540665428e8
12,10000,7.67493768139206e8,7.66940630508554e8,7.68145454603491e8
12,100000,7.51512345733364e8,7.51261538895221e8,7.5785136992672e8
12,500000,7.11881095762706e8,6.8316968009238e8,7.13251938058646e8
12,1000000,6.20903339858579e8,5.96533901514037e8,6.59296656732997e8
13,0,8.21315826440965e8,8.21288641406908e8,8.21355569464748e8
13,10,8.21254619288266e8,8.21254619288266e8,8.21686262534941e8
13,100,8.2117123786982e8,8.2117123786982e8,8.21324961097034e8
13,1000,8.211947357991e8,8.21130596859129e8,8.21226355562422e8
13,10000,8.20148871297271e8,8.19547379060151e8,8.20506084324811e8
13,100000,8.02945572182327e8,8.02945572182327e8,8.09534109904731e8
13,500000,7.59491199308023e8,7.29185788569075e8,7.60794067182795e8
13,1000000,6.97973964554944e8,6.37406623401992e8,6.98871526071933e8
14,0,8.84434595333333e8,8.84434595333333e8,8.84477675564378e8
14,10,8.84461778641435e8,8.84252794992377e8,8.84487335820684e8
14,100,8.84447593309594e8,8.84264371041621e8,8.84472734195018e8
14,1000,8.84201951680727e8,8.83667905760644e8,8.84346057013628e8
14,10000,8.8310983588758e8,8.82787398117213e8,8.83184891133927e8
14,100000,8.70957011537735e8,8.64665800002455e8,8.71280147448905e8
14,500000,8.17477076396758e8,7.82232018072589e8,8.18436344087515e8
14,1000000,7.48648337545956e8,6.83931604794587e8,7.5326061177899e8
15,0,9.47636039542789e8,9.47627271104745e8,9.47697624908659e8
15,10,9.47652824802657e8,9.45504884757492e8,9.47686848244128e8
15,100,9.47689842943619e8,9.4555614351962e8,9.47689842943619e8
15,1000,9.47507398963245e8,9.47451864297773e8,9.47552819050112e8
15,10000,9.46213056903766e8,9.45282435875481e8,9.46262049250777e8
15,100000,9.33257582556944e8,9.27623446177727e8,9.33409910620359e8
15,500000,8.59613331988471e8,8.41872515161076e8,8.7671280757534e8
15,1000000,8.01149055376636e8,7.32369034759972e8,8.02835065647766e8
